0.01  0.964096  0.00709446  0.0288091
0.010001  0.961649  0.00816815  0.0301831
0.010002  0.959163  0.00929934  0.0315374
0.010003  0.95665  0.0104825  0.0328675
0.010004  0.954119  0.0117121  0.0341693
0.010005  0.951579  0.0129821  0.0354385
0.010006  0.949042  0.0142865  0.0366712
0.010007  0.946517  0.0156193  0.0378635
0.010008  0.944014  0.0169742  0.0390117
0.010009  0.941543  0.0183449  0.0401121
0.01001  0.939113  0.0197251  0.0411615
0.010011  0.936735  0.0211085  0.0421565
0.010012  0.934417  0.0224888  0.0430941
0.010013  0.932169  0.0238596  0.0439715
0.010014  0.929999  0.0252147  0.044786
0.010015  0.927917  0.0265482  0.0455353
0.010016  0.925929  0.0278538  0.046217
0.010017  0.924045  0.0291259  0.0468293
0.010018  0.922271  0.0303587  0.0473703
0.010019  0.920615  0.0315468  0.0478384
0.01002  0.919083  0.0326848  0.0482325
0.010021  0.917681  0.0337679  0.0485515
0.010022  0.916415  0.0347911  0.0487944
0.010023  0.915289  0.03575  0.0489608
0.010024  0.914309  0.0366405  0.0490502
0.010025  0.913479  0.0374587  0.0490627
0.010026  0.912801  0.038201  0.0489982
0.010027  0.912279  0.0388642  0.0488572
0.010028  0.911914  0.0394456  0.0486403
0.010029  0.911709  0.0399426  0.0483483
0.01003  0.911665  0.0403531  0.0479822
0.010031  0.911781  0.0406755  0.0475435
0.0100321  0.912058  0.0409084  0.0470335
0.0100331  0.912495  0.0410509  0.046454
0.0100341  0.913091  0.0411025  0.0458069
0.0100351  0.913842  0.0410631  0.0450944
0.0100361  0.914748  0.040933  0.0443187
0.0100371  0.915805  0.0407129  0.0434825
0.0100381  0.917008  0.0404037  0.0425882
0.0100391  0.918354  0.0400071  0.0416389
0.0100401  0.919838  0.0395248  0.0406375
0.0100411  0.921454  0.0389591  0.0395872
0.0100421  0.923196  0.0383125  0.0384912
0.0100431  0.925059  0.0375879  0.037353
0.0100441  0.927035  0.0367887  0.0361762
0.0100451  0.929117  0.0359184  0.0349644
0.0100461  0.931298  0.0349808  0.0337213
0.0100471  0.933569  0.0339802  0.0324507
0.0100481  0.935922  0.032921  0.0311567
0.0100491  0.938349  0.0318079  0.0298431
0.0100501  0.94084  0.0306458  0.0285139
0.0100511  0.943387  0.0294397  0.0271732
0.0100521  0.94598  0.0281952  0.0258252
0.0100531  0.948609  0.0269175  0.0244737
0.0100541  0.951265  0.0256123  0.0231231
0.0100552  0.953937  0.0242854  0.0217773
0.0100562  0.956617  0.0229425  0.0204404
0.0100572  0.959294  0.0215894  0.0191164
0.0100582  0.961959  0.0202322  0.0178093
0.0100592  0.9646  0.0188766  0.016523
0.0100602  0.96721  0.0175287  0.0152613
0.0100612  0.969778  0.0161942  0.0140281
0.0100622  0.972294  0.014879  0.012827
0.0100632  0.97475  0.0135888  0.0116615
0.0100642  0.977136  0.0123291  0.0105352
0.0100652  0.979443  0.0111054  0.00945137
0.0100662  0.981664  0.00992306  0.00841322
0.0100672  0.983789  0.00878712  0.00742383
0.0100682  0.985811  0.00770251  0.00648612
0.0100692  0.987723  0.00667389  0.00560286
0.0100702  0.989518  0.00570571  0.00477664
0.0100713  0.991188  0.00480213  0.00400989
0.0100723  0.992728  0.00396704  0.00330487
0.0100733  0.994132  0.00320402  0.00266363
0.0100743  0.995396  0.00251635  0.00208806
0.0100753  0.996513  0.00190698  0.00157983
0.0100763  0.997481  0.0013785  0.00114043
0.0100773  0.998296  0.000933183  0.000771118
0.0100783  0.998954  0.000572913  0.000472974
0.0100793  0.999454  0.000299222  0.000246851
0.0100803  0.999793  0.000113262  9.33942e-05
0.0100813  0.999971  1.58095e-05  1.3033e-05
0.0100823  0.999987  7.25686e-06  5.98227e-06
0.0100833  0.99984  8.76145e-05  7.22407e-05
0.0100844  0.999532  0.00025651  0.000211591
0.0100854  0.999063  0.000513189  0.000423603
0.0100864  0.998436  0.000856521  0.000707629
0.0100874  0.997652  0.001285  0.00106281
0.0100884  0.996715  0.00179676  0.00148809
0.0100894  0.995628  0.00238957  0.00198219
0.0100904  0.994396  0.00306086  0.00254363
0.0100914  0.993022  0.00380772  0.00317075
0.0100924  0.991511  0.0046269  0.00386167
0.0100934  0.989871  0.00551487  0.00461435
0.0100944  0.988106  0.00646778  0.00542656
0.0100955  0.986223  0.00748151  0.00629587
0.0100965  0.984229  0.00855169  0.00721972
0.0100975  0.982131  0.00967368  0.00819536
0.0100985  0.979937  0.0108427  0.0092199
0.0100995  0.977656  0.0120536  0.0102903
0.0101005  0.975295  0.0133012  0.0114034
0.0101015  0.972864  0.0145801  0.0125558
0.0101025  0.970371  0.0158848  0.0137443
0.0101035  0.967825  0.0172097  0.0149652
0.0101045  0.965236  0.0185491  0.0162148
0.0101056  0.962613  0.0198971  0.0174896
0.0101066  0.959966  0.021248  0.0187857
0.0101076  0.957305  0.022596  0.0200992
0.0101086  0.954639  0.0239352  0.0214263
0.0101096  0.951977  0.0252598  0.0227629
0.0101106  0.949331  0.0265641  0.0241052
0.0101116  0.946708  0.0278425  0.025449
0.0101126  0.94412  0.0290895  0.0267904
0.0101136  0.941575  0.0302996  0.0281254
0.0101147  0.939082  0.0314677  0.0294499
0.0101157  0.936651  0.0325887  0.0307599
0.0101167  0.934291  0.0336577  0.0320517
0.0101177  0.932009  0.0346701  0.0333211
0.0101187  0.929814  0.0356215  0.0345645
0.0101197  0.927714  0.0365078  0.035778
0.0101207  0.925717  0.0373251  0.0369581
0.0101217  0.923829  0.0380698  0.038101
0.0101227  0.922058  0.0387388  0.0392033
